group1,group2,channel,description
Higgs,,GGCC,ShortDST gamma gamma -> D* X using BDK                       RAL.; 
EEGG,,GGEE,LongDST gamma gamma -> e+e- ;Sim. of 95A  DELANA(liq) Fix 1 ; RUTH
Higgs,,GGM1,"XShortDST gamma gamma -> hadrons, TWOGAM2 sample 1           KARL;"
Higgs,,GGM2,"XShortDST gamma gamma -> hadrons, TWOGAM2 sample 2 VDM+QPM    RAL;"
Higgs,,GGM3,"XShortDST gamma gamma -> hadrons, TWOGAM2 sample 3           KARL;"
Higgs,,GGM4,"XShortDST gamma gamma -> hadrons, TWOGAM2 sample 4           KARL;"
Higgs,,GGM5,"XShortDST gamma gamma -> hadrons, TWOGAM2 sample 5           RAL.;"
Higgs,,GGMH,"ShortDST  gamma gamma -> hadrons, TWOGAM20                  ; RAL."
Higgs,,GGMM,XShortDST gamma gamma --> mu+mu- (gammma)                    SACL; 
Higgs,,GGMU,"LongDST gamma-gamma-->mu mu, no cuts;   (liq) ANA94B Fix 3  ; BAST"
Higgs,,GGPY6156JPSINOVDM,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GGPY6156JPSINVDMMU,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GGPY6156JPSIVDMMU,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GGPY6156JPSIVDMVDM,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GGPY6156WMIN1,"Extended Short DST simulation 99_e1 200 , CERN"
Higgs,,GGQC,LongDST g g -> hadrons(QCD); Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
Higgs,,GGQP,LongDST g g -> hadrons(QPM); Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
Higgs,,GGTT,LongDST gam gam -> tau+tau- ;Sim. of 95A  DELANA(liq) Fix 1 ; RUTH
Higgs,,GGTWJPSIQPMMMU,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GGTWOGAM2054PIC,"Extended Short DST simulation 99e  done at ecm=199.5 GeV , CERN"
Higgs,,GGVD,LongDST g g -> hadrons(VDM); Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
Higgs,,GGVP,"XShortDST gamma gamma -> hadrons, TWOGAM202D generator        RAL;"
Higgs,,GM1B,"XShortDST gamma gamma -> hadrons, TWOGAM 2.03, sample 1bis   SNAK;"
Higgs,,GM3B,"XShortDST gamma gamma -> hadrons, TWOGAM 2.03, sample 3bis   SNAK;"
Susy,,GMSB,XShortDST Long staus -> tau grav (or nutau) mu                RAL; 
Higgs,,GPM1,"XShortDST gamma gamma -> hadrons, PHOJET sample 1            KARL;"
Higgs,,GPM3,"XShortDST gamma gamma -> hadrons, PHOJET  sample 3           KARL;"
Higgs,,GPMB,"XShortDST gamma gamma -> hadrons, PHOJET 1.12p, min.bias     SNAK;"
Higgs,,GPYM,ShortDST gamma gamma -> hadrons  TWOGAM202D generator        RAL.; 
4 Fermion,,GPYM6143C1,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN           Jan 2000 US"
4 Fermion,,GPYM6143C2,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN           Jan 2000 US"
4 Fermion,,GPYM6143WC0EEQQ,"Extended Short DST simulation 97_g1 done at ecms=182.7 , CERN"
4 Fermion,,GPYM6143WGG6EEQQ,"Extended Short DST simulation 99_e1 done at ecms=199.5 , CERN"
2 Fermion,,GPYM6147C3,"XSHORT DST gamma gamma ->hadrons, pythia6.147, cut=2, xsec ~170pb Extended Short DST simulation 99_a1 200 , CERN, requested by Sharka"
2 Fermion,,GPYM6156C4,"special sample gamma gamma -> hadrons, pythia 6156 Cut = 3 Extended Short DST simulation 99_a1 200 , Lyon, 139753 events"
2 Fermion,,GPYM6156JPSI,"gamma gamma with Pythia 6.156, J-Psi enhanced Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GPYM6156JPSIVDM,"Extended Short DST simulation 99_a1 200 , CERN"
Higgs,,GPYM6203JPSI,"Extended Short DST simulation 99e1 200 , CERN"
Higgs,,GPYN,ShortDST gamma gamma -> hadrons  TWOGAM202D generator        RAL.; 
Higgs,,H0A0,LongDST Susy Higgs mA=55 GeV;Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
Higgs,,H22A,XShortDST e+e- -> hA or hZ              ;Sim.97 ANA97A Fix 1 ;SACL
Higgs,,HA02,XShortDST  e+e- --> hA --> 4B tanbeta + 20 HZHA  m(A)        SACL;
Higgs,,HA02TTBB,"ShortDST HZHA03  e+e- --> hA -> tautaubbbar, tan beta = 2 Extended Short DST simulation 99_a1 done at ecms=191.6 , CERN"
Higgs,,HA20,XShortDST e+e- -> hA (both in bbbar)    ;Sim.97 ANA97A Fix 1 ;SACL
Higgs,,HA20TTBB,"ShortDST HZHA03  e+e- --> hA ->tautaubbbar, tan beta = 20 Extended Short DST simulation 99_a1 done at ecms=191.6 , CERN"
Higgs,,HA4B,XShortDST e+ e- --> h A --> b b b b                          BAST; 
Higgs,,HA4C,XShortDST e+ e- --> h A --> c c c c                          BAST; 
Higgs,,HA50,XShortDST  e+e- --> hA --> 4b tanbeta = 50 HZHA03 m(A)       SACL;
Higgs,,HA50TTBB,"ShortDST HZHA03  e+e- --> hA ->tautaubbbar, tan beta = 50 Extended Short DST simulation 99_a1 done at ecms=191.6 , CERN"
Higgs,,HA6B,"XShortDST e+ e- --> h A A, A --> b bbar                      BAST; "
Higgs,,HAB2,"XShortDST e+e- -> hA (h->bbbar,A->bbbar);Sim.97 ANA97A Fix 1 ;SACL"
Higgs,,HABT,"XShortDST e+e- -> h A, h --> b bbar,  A --> tau tau          BAST;"
Higgs,,HATB,"XShortDST e+e- -> h A, h --> tau tau, A --> b bbar           BAST;"
Higgs,,HGEE,"ShortDST HZHA03 H->gluglu, Z->e+e-  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HGMM,"ShortDST HZHA03 H->gluglu, Z->mu+mu-  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HGNN,"ShortDST HZHA03 H->gluglu, Z->nunubar  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HGNU,"XShortDST e+e- --> hZ (h -> glu, Z --> nu nu)     HZHA03     KARL; "
Higgs,,HGQQ,"ShortDST HZHA03 H->gluglu, Z->qqbar  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HGTT,"ShortDST HZHA03 H->gluglu, Z->tau+tau- Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HHPY,LongDST e+e- --> H+H-                          ANA96E Fix 1 ; SACL
Higgs,,HIEE,XShortDST e+e- -> h(inv)ee              ;Sim.97 ANA97A Fix 1 ;STOC
Higgs,,HIMM,XShortDST ee -> hZ (h -> invis; Z -> mumu)    ANA98A         STOC;
Higgs,,HINV,XShortDST  e+e- --> H(invisible) Z(tautau)                   SACL;
Higgs,,HIQQ,XShortDST e+e- -> h(inv)qq              ;Sim.97 ANA97A Fix 1 ;STOC
Higgs,,HITT,ShortDST h--> invis; Z--> tautau                             STOC; 
Higgs,,HIWP,"LongDST e+e- -> H0+Z0 (H0 -> bb~, Z0 -> nu nu) ANA97A Fix 1 ; GENO"
Higgs,,HPHM,LongDST e+e--> H+H-(cs0 any);Sim. of 95B- DELANA(liq) Fix 1 ; SACL
Higgs,,HSEE,"ShortDST HZHA03 H->ssbar, Z->e+e-  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HSMM,"ShortDST HZHA03 H->ssbar, Z->mu+mu-  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HSNN,"ShortDST HZHA03 H->ssbar, Z->nunubar  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HSNU,"XShortDST e+e- --> hZ (h -> s sbar, Z --> nu nu)  HZHA03     KARL; "
Higgs,,HSQQ,"ShortDST HZHA03 H->ssbar, Z->qqbar  Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HSTT,"ShortDST HZHA03 H->ssbar, Z->tau+tau- Extended Short DST simulation 99_a1 192 , Karlsruhe"
Higgs,,HTTZ,XShortDST  e+e- --> HZ --> tautauqqbar                       SACL;
Higgs,,HZAL,"XShortDST e+e- --> hZ (h -> any , Z -> any)                  SACL; "
Higgs,,HZEE,XShortDST  e+e- --> HZ --> He+e-                             SACL;
Higgs,,HZFU,"XShortDST e+e- --> hZ (h -> any , Z -> nunu)                 SACL; "
Higgs,,HZHA,mass production during the jeune genevois 2000  simulation   
Higgs,,HZHA03HA02,"Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156GGGG,"ShortDST HZHA03(Pythia 6.156)  e+e- --> hA ->4gluon, mh=110 GeV, different A  masses  Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156HGNN,"ShortDST HZHA03 H->gluglu, Z->nunubar  Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156HGQQ,"ShortDST HZHA03 H->gluglu, Z->qqbar  Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156HSNN,"ShortDST HZHA03 H->ssbar, Z->nunubar  Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156HSQQ,"ShortDST HZHA03 H->ssbar, Z->qqbar  Extended Short DST simulation 99_a1 196 , CERN"
Higgs,,HZHA03P6156HZNU,"Extended Short DST simulation 99_a1 done at ecms=206.70 , Lyon"
Higgs,,HZHA03P6156HZQQ,"Extended Short DST simulation 99_a1 done at ecms=206.7 , Lyon, 4999 events"
Higgs,,HZHA03PYTH6156HA20,"XShortDst HZHA03  e+e- --> hA ->4b, tan beta = 20 Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
Higgs,,HZHA03PYTH6156HA4B,"XShortDst HZHA03  e+e- --> hA -> 4b Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HA4G,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M100_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M100_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M100_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M110_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M110_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M110_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M120_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M120_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M120_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M12_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M12_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M12_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M130_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M130_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M130_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M140_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M140_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M140_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M150_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M150_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M150_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M160_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M160_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M160_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M170_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M170_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M170_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M20_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M20_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M20_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M30_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M30_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M30_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M40_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M40_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M40_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M50_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M50_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M50_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M60_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M60_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M60_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M70_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M70_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M70_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M80_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M80_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M80_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M90_M12,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M90_M4,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E196_M90_M8,"Full DST/Delana output simulation 99_a 196 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M100_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M100_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M100_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M110_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
